site,date,year,day_of_year,image_no,,prop_blk_pixels,prop_wht_pixels
Nat QC 1 alt,9/15/2024,2024,259,4,,0.522509209,0.477490791
Nat QC 1 alt,9/15/2024,2024,259,7,,0.54548729,0.45451271
Nat QC 1 alt,9/15/2024,2024,259,9,,0.682478259,0.317521741
Nat QC 1 old,8/21/2024,2024,234,8,,0.036871613,0.963128387
Nat QC 9,9/15/2024,2024,259,2,,0.995221425,0.004778575
Nat QC 9,9/15/2024,2024,259,3,,0.915054452,0.084945548
Nat QC 9,9/15/2024,2024,259,4,,0.5711299,0.4288701
Nat QC 9,9/15/2024,2024,259,5,,0.334735438,0.665264562
Nat QC 9,9/15/2024,2024,259,6,,0.567635722,0.432364278
Nat QC 9,9/15/2024,2024,259,7,,0.455071433,0.544928567
Nat QC 9,9/15/2024,2024,259,8,,0.318164822,0.681835178
Nat QC 9,9/15/2024,2024,259,9,,0.528477032,0.471522968
Ag-nat 2,8/23/2024,2024,236,7,,0.67548284,0.32451716
Ag-nat 2,8/23/2024,2024,236,8,,0.319651088,0.680348912
Ag-nat 2,9/13/2024,2024,250,1,,0.46165703,0.53834297
Ag-nat 2,9/13/2024,2024,250,3,,0.503900469,0.496099531
Ag-nat 2,9/13/2024,2024,250,6,,0.336988772,0.663011228
Ag-nat 3,5/31/2024,2024,152,1,,0.297601551,0.702398449
Ag-nat 3,5/31/2024,2024,152,2,,0.557169857,0.442830143
Ag-nat 3,5/31/2024,2024,152,3,,0.134229646,0.865770354
Ag-nat 3,9/17/2024,2024,261,3,,0.21283235,0.78716765
Ag-nat 3,9/17/2024,2024,261,4,,0.081053711,0.918946289
Ag-nat 3,9/17/2024,2024,261,5,,0.241139489,0.758860511
Ag-nat 5,9/13/2024,2024,250,7,,0.413649012,0.586350988
Ag-nat 7,6/25/2024,2024,177,1,,0.413960658,0.586039342
Ag-nat 7,6/25/2024,2024,177,4,,0.477782356,0.522217644
Ag-nat 7,6/25/2024,2024,177,9,,0.464872419,0.535127581
Ag-nat 8,6/24/2024,2024,176,10,,0.413960658,0.586039342
Ag-nat 8,6/24/2024,2024,176,13,,0.477782356,0.522217644
Ag-nat 8,6/24/2024,2024,176,15,,0.462095189,0.537904811
Ag-nat 8,6/24/2024,2024,176,16,,0.214745752,0.785254248
Ag-nat 8,6/24/2024,2024,176,5,,0.480444506,0.519555494
Ag-nat 8,6/24/2024,2024,176,6,,0.371641971,0.628358029
Ag-nat 8,9/17/2024,2024,261,5,,0.21577271,0.78422729
Ag-nat 8,9/17/2024,2024,261,6,,0.249120913,0.750879087
Ag-nat 8,9/17/2024,2024,261,7,,0.35106691,0.64893309
Ag-nat 9,6/25/2024,2024,177,1,,0.173705707,0.826294293
Ag-nat 9,9/13/2024,2024,250,8,,0.365901326,0.634098674
Ag 3,5/31/2024,2024,152,4,,0.640811575,0.359188425
Ag 3,5/31/2024,2024,152,6,,0.213125996,0.786874004
Ag 3,9/17/2024,2024,261,1,,0.431128927,0.568871073
Ag 3,9/17/2024,2024,261,10,,0.428835768,0.571164232
Ag 5,9/17/2024,2024,261,10,,0.325713275,0.674286725
Ag 5,9/17/2024,2024,261,2,,0.791688247,0.208311753
Ag 5,9/17/2024,2024,261,5,,0.275199634,0.724800366
Ag 5,9/17/2024,2024,261,6,,0.454693,0.545307
Ag 5,9/17/2024,2024,261,7,,0.692153313,0.307846687
Ag 5,9/17/2024,2024,261,9,,0.340774083,0.659225917
Ag 6,5/31/2024,2024,152,1,,0.616896407,0.383103593
Ag 6,5/31/2024,2024,152,3,,0.492805753,0.507194247
Ag 6,5/31/2024,2024,152,4,,0.312988647,0.687011353
Ag 6,5/31/2024,2024,152,5,,0.453602269,0.546397731
Ag 6,5/31/2024,2024,152,6,,0.740321524,0.259678476
Ag 6,5/31/2024,2024,152,7,,0.276102467,0.723897533
Ag 6,5/31/2024,2024,152,8,,0.439003646,0.560996354
Ag 6,5/31/2024,2024,152,9,,0.550856381,0.449143619
Ag 6,8/23/2024,2024,236,3,,0.579606681,0.420393319
Ag 6,8/23/2024,2024,236,6,,0.684254481,0.315745519
Ag 6,8/23/2024,2024,236,7,,0.486246541,0.513753459
Ag 6,9/16/2024,2024,260,1,,0.315471062,0.684528938
Ag 6,9/16/2024,2024,260,5,,0.759853382,0.240146618
Ag 6,9/16/2024,2024,260,6,,0.730244975,0.269755025
Half 10,5/31/2024,2024,152,5,,0.292033148,0.707966852
Half 10,5/31/2024,2024,152,6,,0.229037038,0.770962962
Half 10,5/31/2024,2024,152,7,,0.806472309,0.193527691
Half 10,5/31/2024,2024,152,8,,0.592667421,0.407332579
Half 10,5/31/2024,2024,152,9,,0.433686218,0.566313782
Half 10,8/23/2024,2024,236,2,,0.338518591,0.661481409
Half 10,8/23/2024,2024,236,3,,0.321914035,0.678085965
Half 10,8/23/2024,2024,236,4,,0.224787418,0.775212582
Half 10,8/23/2024,2024,236,5,,0.255091875,0.744908125
Half 10,8/23/2024,2024,236,7,,0.336622895,0.663377105
Half 10,9/16/2024,2024,260,1,,0.330766895,0.669233105
Half 10,9/16/2024,2024,260,10,,0.33820941,0.66179059
Half 2,5/31/2024,2024,152,5,,0.538194278,0.461805722
Half 2,9/17/2024,2024,261,10,,0.438937712,0.561062288
Half 5,5/31/2024,2024,152,10,,0.202823024,0.797176976
Half 5,9/17/2024,2024,261,9,,0.412479381,0.587520619
Half 6,6/28/2024,2024,201,1,,0.124757763,0.875242237
Half 6,6/28/2024,2024,201,10,,0.114866213,0.885133787
Half 6,6/28/2024,2024,201,2,,0.7454192,0.2545808
Half 6,6/28/2024,2024,201,3,,0.209332883,0.790667117
Half 6,6/28/2024,2024,201,4,,0.537800729,0.462199271
Half 6,6/28/2024,2024,201,5,,0.344010279,0.655989721
Half 6,6/28/2024,2024,201,6,,0.549431632,0.450568368
Half 6,6/28/2024,2024,201,8,,0.429555133,0.570444867
Half 6,8/1/2024,2024,214,1,,0.13956349,0.86043651
Half 7,8/23/2024,2024,236,1,,0.362256677,0.637743323
Half 7,8/23/2024,2024,236,10,,0.20185714,0.79814286
Half 7,8/23/2024,2024,236,11,,0.32225539,0.67774461
Half 7,8/23/2024,2024,236,2,,0.143119072,0.856880928
Ag 5,7/29/2024,2024,211,2,,0.135121562,0.864878438
Half 7,8/23/2024,2024,236,4,,0.394037984,0.605962016
Half 9,8/23/2024,2024,236,10,,0.299139197,0.700860803
Half 9,8/23/2024,2024,236,9,,0.210651015,0.789348985
Nat-ag 3,5/30/2024,2024,151,10,,0.528152692,0.471847308
Nat-ag 3,5/30/2024,2024,151,3,,0.466610593,0.533389407
Nat-ag 3,5/30/2024,2024,151,7,,0.47662562,0.52337438
Nat-ag 3,6/28/2024,2024,180,5,,0.475650632,0.524349368
Nat-ag 3,6/28/2024,2024,180,7,,0.298144546,0.701855454
Nat-ag 4,8/23/2024,2024,236,3,,0.116968746,0.883031254
Nat-ag 5 new,6/28/2024,2024,180,1,,0.605535725,0.394464275
Nat-ag 5 new,6/28/2024,2024,180,2,,0.747486707,0.252513293
Nat-ag 5 new,6/28/2024,2024,180,7,,0.898698068,0.101301932
Nat-ag 5 new,6/28/2024,2024,180,8,,0.690448622,0.309551378
Nat-ag 5 old,6/28/2024,2024,180,3,,0.428170445,0.571829555
Nat-ag 6,5/30/2024,2024,151,1,,0.215155797,0.784844203
Ag-nat 5,7/30/2024,2024,212,5,,0.075924561,0.924075439
Nat-ag 6,5/30/2024,2024,151,10,,0.255844123,0.744155877
Nat-ag 6,5/30/2024,2024,151,2,,0.585763033,0.414236967
Nat-ag 6,5/30/2024,2024,151,5,,0.277570224,0.722429776
Nat-ag 6,5/30/2024,2024,151,6,,0.601062739,0.398937261
Nat-ag 6,5/30/2024,2024,151,8,,0.3341024,0.6658976
Nat-ag 6,6/28/2024,2024,180,4,,0.164823559,0.835176441
Nat-ag 6,6/28/2024,2024,180,5,,0.379159855,0.620840145
Nat-ag 6,6/28/2024,2024,180,6,,0.516062845,0.483937155
Nat-ag 6,6/28/2024,2024,180,7,,0.105749192,0.894250808
Nat-ag 6,6/28/2024,2024,180,8,,0.24875985,0.75124015
Ag-nat 7,7/30/2024,2024,212,2,,0.04622748,0.95377252
Nat-ag 6,8/1/2024,2024,214,4,,0.241444943,0.758555057
Nat-ag 7 new,5/30/2024,2024,151,2,,0.31140581,0.68859419
Nat-ag 7 new,5/30/2024,2024,151,5,,0.403959134,0.596040866
Nat-ag 7 new,5/30/2024,2024,151,7,,0.217445215,0.782554785
Nat-ag 7 new,6/28/2024,2024,180,10,,0.140254636,0.859745364
Nat-ag 7 new,6/28/2024,2024,180,2,,0.255816433,0.744183567
Nat-ag 7 new,6/28/2024,2024,180,3,,0.392456468,0.607543532
Nat-ag 7 new,6/28/2024,2024,180,4,,0.445955558,0.554044442
Nat-ag 7 new,6/28/2024,2024,180,5,,0.230538573,0.769461427
Nat-ag 7 old,5/30/2024,2024,151,10,,0.268094021,0.731905979
Nat-ag 7 old,5/30/2024,2024,151,2,,0.149630095,0.850369905
Half 2,9/17/2024,2024,261,4,,0.79986232,0.20013768
Half 2,9/17/2024,2024,261,9,,0.294708452,0.705291548
Half 7,7/30/2024,2024,212,7,,0.052107807,0.947892193
Half 7,7/30/2024,2024,212,9,,0.024921449,0.975078551
Nat-ag 7 old,5/30/2024,2024,151,3,,0.401960754,0.598039246
Nat-ag 7 old,5/30/2024,2024,151,5,,0.248955446,0.751044554
Nat-ag 7 old,5/30/2024,2024,151,6,,0.346454643,0.653545357
Nat-ag 7 old,5/30/2024,2024,151,9,,0.161408874,0.838591126
Nat-ag 7 old,6/28/2024,2024,180,1,,0.186461288,0.813538712
Nat-ag 7 old,6/28/2024,2024,180,11,,0.243553574,0.756446426
Nat-ag 7 old,6/28/2024,2024,180,2,,0.35723266,0.64276734
Nat-ag 7 old,6/28/2024,2024,180,6,,0.360090406,0.639909594
Half 7,8/23/2024,2024,236,5,,0.133714552,0.866285448
Half 7,9/13/2024,2024,250,2,,0.114196514,0.885803486
Half 9,7/30/2024,2024,212,9,,0.066009382,0.933990618
Nat-ag 7 old,6/28/2024,2024,180,8,,0.323521187,0.676478813
Nat-ag 7 old,8/22/2024,2024,235,10,,0.471532973,0.528467027
Nat-ag 7 old,8/22/2024,2024,235,2,,0.276065772,0.723934228
Nat-ag 7 old,8/22/2024,2024,235,7,,0.491683695,0.508316305
Nat-ag 7 old,8/22/2024,2024,235,8,,0.484463845,0.515536155
Nat-ag 8,5/31/2024,2024,152,1,,0.360396369,0.639603631
Nat-ag 8,5/31/2024,2024,152,2,,0.407686066,0.592313934
Nat-ag 8,5/31/2024,2024,152,6,,0.196732248,0.803267752
Nat-ag 8,5/31/2024,2024,152,8,,0.336063694,0.663936306
Nat-ag 8,6/24/2024,2024,176,1,,0.201900818,0.798099182
Nat-ag 8,6/24/2024,2024,176,10,,0.527920176,0.472079824
Nat-ag 8,6/24/2024,2024,176,2,,0.412822626,0.587177374
Nat-ag 8,6/24/2024,2024,176,3,,0.235998966,0.764001034
Nat-ag 8,6/24/2024,2024,176,5,,0.194481517,0.805518483
Nat-ag 8,6/24/2024,2024,176,6,,0.333083994,0.666916006
Nat-ag 8,6/24/2024,2024,176,7,,0.130706951,0.869293049
Nat-ag 8,6/24/2024,2024,176,9,,0.266834036,0.733165964
Nat-ag 8,9/17/2024,2024,261,1,,0.49031651,0.50968349
Nat-ag 8,9/17/2024,2024,261,10,,0.618513082,0.381486918
Nat-ag 8,9/17/2024,2024,261,11,,0.548142795,0.451857205
Nat-ag 8,9/17/2024,2024,261,2,,0.223171869,0.776828131
Nat-ag 8,9/17/2024,2024,261,3,,0.407362591,0.592637409
Nat-ag 8,9/17/2024,2024,261,4,,0.33285269,0.66714731
Nat-ag 8,9/17/2024,2024,261,7,,0.160765545,0.839234455
Nat-ag 8,9/17/2024,2024,261,8,,0.254255164,0.745744836
Nat-ag 8,9/17/2024,2024,261,9,,0.491955994,0.508044006
Nat-ag 9,6/25/2024,2024,177,1,,0.323099163,0.676900837
Nat-ag 9,6/25/2024,2024,177,3,,0.236837516,0.763162484
Nat-ag 9,6/25/2024,2024,177,5,,0.411731333,0.588268667
Nat-ag 9,8/20/2024,2024,233,5,,0.394180607,0.605819393
Nat-ag 9,9/16/2024,2024,260,1,,0.314960795,0.685039205
Nat-ag 9,9/16/2024,2024,260,10,,0.401007507,0.598992493
Nat-ag 9,9/16/2024,2024,260,3,,0.409759922,0.590240078
Nat-ag 9,9/16/2024,2024,260,4,,0.543491149,0.456508851
Nat-ag 9,9/16/2024,2024,260,6,,0.320332621,0.679667379
Nat-ag 9,9/16/2024,2024,260,7,,0.435420188,0.564579812
Nat-ag 9,9/16/2024,2024,260,8,,0.580734525,0.419265475
Nat QC 1 alt,9/15/2024,2024,259,10,,0.360894397,0.639105603
Nat QC 1 alt,9/15/2024,2024,259,8,,0.492012298,0.507987702
Nat QC 1 old,9/15/2024,2024,259,10,,0.261344749,0.738655251
Nat QC 1 old,9/15/2024,2024,259,2,,0.44810348,0.55189652
Nat QC 1 old,9/15/2024,2024,259,9,,0.183850937,0.816149063
Nat QC 3,6/26/2024,2024,178,1,,0.276689059,0.723310941
Nat QC 3,6/26/2024,2024,178,10,,0.141722197,0.858277803
Half 9,8/23/2024,2024,236,1,,0.268268366,0.731731634
Nat-ag 4,7/30/2024,2024,212,6,,0.095717253,0.904282747
Nat-ag 6,8/1/2024,2024,214,1,,0.151868348,0.848131652
Nat-ag 6,8/1/2024,2024,214,10,,0.296310661,0.703689339
Nat-ag 6,8/1/2024,2024,214,2,,0.432270896,0.567729104
Nat-ag 7 new,5/30/2024,2024,151,1,,0.388173972,0.611826028
Nat QC 3,6/26/2024,2024,178,5,,0.294283878,0.705716122
Nat QC 3,6/26/2024,2024,178,7,,0.254548789,0.745451211
Nat QC 3,6/26/2024,2024,178,8,,0.236697692,0.763302308
Nat QC 3,6/26/2024,2024,178,9,,0.149689599,0.850310401
Nat QC 3,9/15/2024,2024,259,7,,0.393922629,0.606077371
Nat QC 3,9/15/2024,2024,259,8,,0.377879347,0.622120653
Nat-ag 3,5/30/2024,2024,151,1,,0.299827341,0.700172659
Nat QC 1 old,9/15/2024,2024,259,1,,0.201926457,0.798073543
Nat QC 1 old,9/15/2024,2024,259,4,,0.353226077,0.646773923
Nat QC 1 old,9/15/2024,2024,259,5,,0.100733991,0.899266009
Nat QC 1 old,9/15/2024,2024,259,6,,0.028480367,0.971519633
Nat QC 1 old,9/15/2024,2024,259,7,,0.04026103,0.95973897
Nat QC 4,6/26/2024,2024,178,2,,0.112070916,0.887929084
Nat QC 4,6/26/2024,2024,178,9,,0.474834666,0.525165334
Nat QC 6,6/26/2024,2024,178,10,,0.38505111,0.61494889
Nat QC 6,6/26/2024,2024,178,4,,0.436661794,0.563338206
Nat QC 7,6/26/2024,2024,178,2,,0.26431819,0.73568181
Nat QC 7,6/26/2024,2024,178,3,,0.176305212,0.823694788
Ag-nat 3,9/17/2024,2024,261,1,,0.35677754,0.64322246
Ag-nat 3,9/17/2024,2024,261,10,,0.37738144,0.62261856
Ag-nat 3,9/17/2024,2024,261,6,,0.313365256,0.686634744
Ag-nat 3,9/17/2024,2024,261,7,,0.311503107,0.688496893
Ag 6,8/23/2024,2024,236,8,,0.524058646,0.475941354
Half 2,9/17/2024,2024,261,7,,0.518372734,0.481627266
Half 7,9/13/2024,2024,250,8,,0.355922388,0.644077612
Nat QC 3,6/26/2024,2024,178,2,,0.771858855,0.228141145
Nat QC 3,6/26/2024,2024,178,3,,0.291853458,0.708146542
Nat QC 3,6/26/2024,2024,178,4,,0.350036841,0.649963159
Nat QC 3,6/26/2024,2024,178,6,,0.171970871,0.828029129
Nat QC 3,9/15/2024,2024,259,1,,0.611958482,0.388041518
Nat QC 4,6/26/2024,2024,178,10,,0.677764328,0.322235672
Nat QC 6,6/26/2024,2024,178,1,,0.463464165,0.536535835
Nat QC 6,6/26/2024,2024,178,3,,0.294300178,0.705699822
Ag-nat 9,9/13/2024,2024,250,5,,0.223151466,0.776848534
Ag 6,8/23/2024,2024,236,10,,0.270445189,0.729554811
Ag 6,8/23/2024,2024,236,2,,0.641404451,0.358595549
Ag 6,9/16/2024,2024,260,2,,0.818026907,0.181973093
Ag 6,9/16/2024,2024,260,7,,0.687111071,0.312888929
Ag 6,9/16/2024,2024,260,8,,0.368177613,0.631822387
Half 2,9/17/2024,2024,261,8,,0.259533019,0.740466981
Half 7,9/13/2024,2024,250,5,,0.325044101,0.674955899
Half 7,9/13/2024,2024,250,7,,0.270512872,0.729487128
Half 9,7/30/2024,2024,212,10,,0.241211488,0.758788512
Half 9,8/23/2024,2024,236,3,,0.80282426,0.19717574
Half 9,9/13/2024,2024,250,1,,0.341652973,0.658347027
Ag 6,9/16/2024,2024,260,9,,0.530553803,0.469446197
Half 9,9/13/2024,2024,250,5,,0.291086756,0.708913244
Half 9,9/13/2024,2024,250,7,,0.758287466,0.241712534
Nat-ag 6,5/30/2024,2024,151,4,,0.144850165,0.855149835
Nat-ag 7 old,5/30/2024,2024,151,1,,0.242910228,0.757089772
Nat-ag 7 old,6/28/2024,2024,180,10,,0.247867491,0.752132509
Nat-ag 7 old,6/28/2024,2024,180,4,,0.263962739,0.736037261
Nat-ag 7 old,6/28/2024,2024,180,5,,0.186190002,0.813809998
Nat-ag 7 old,6/28/2024,2024,180,7,,0.11814893,0.88185107
Nat QC 6,6/26/2024,2024,178,7,,0.545290138,0.454709862
Nat QC 7,7/31/2024,2024,213,5,,0.60728094,0.39271906
Nat-ag 7 old,8/22/2024,2024,235,1,,0.263971612,0.736028388
Nat-ag 8,5/31/2024,2024,152,3,,0.38073523,0.61926477
Nat-ag 8,5/31/2024,2024,152,4,,0.524628819,0.475371181
Nat-ag 8,6/24/2024,2024,176,8,,0.589572249,0.410427751
Ag 3,5/31/2024,2024,152,1,,0.467409081,0.532590919
Ag 3,5/31/2024,2024,152,8,,0.478727541,0.521272459
Ag 3,6/25/2024,2024,176,2,,0.234113505,0.765886495
Ag 3,6/25/2024,2024,176,3,,0.332313392,0.667686608
Ag 3,6/25/2024,2024,176,4,,0.187300427,0.812699573
Ag 3,6/25/2024,2024,176,5,,0.143912442,0.856087558
Ag 3,6/25/2024,2024,176,6,,0.194455202,0.805544798
Ag 3,6/25/2024,2024,176,7,,0.213793105,0.786206895
Ag 3,6/25/2024,2024,176,9,,0.200056204,0.799943796
Ag 3,7/29/2024,2024,211,1,,0.50905983,0.49094017
Ag 3,7/29/2024,2024,211,10,,0.32031006,0.67968994
Ag 3,7/29/2024,2024,211,2,,0.201823855,0.798176145
Ag 3,7/29/2024,2024,211,3,,0.294261748,0.705738252
Ag 3,7/29/2024,2024,211,4,,0.51926163,0.48073837
Ag 3,7/29/2024,2024,211,5,,0.187680977,0.812319023
Ag 3,7/29/2024,2024,211,6,,0.358149433,0.641850567
Ag 3,7/29/2024,2024,211,7,,0.153404837,0.846595163
Ag 3,7/29/2024,2024,211,8,,0.235697235,0.764302765
Ag 3,7/29/2024,2024,211,9,,0.387298777,0.612701223
Ag 5,5/31/2024,2024,152,2,,0.27695064,0.72304936
Ag 5,5/31/2024,2024,152,3,,0.840834394,0.159165606
Ag 5,5/31/2024,2024,152,6,,0.370305986,0.629694014
Ag 5,5/31/2024,2024,152,10,,0.458265156,0.541734844
Ag 5,5/31/2024,2024,152,7,,0.266917695,0.733082305
Ag 5,5/31/2024,2024,152,8,,0.771707837,0.228292163
Ag 5,5/31/2024,2024,152,9,,0.538633191,0.461366809
Ag 5,6/24/2024,2024,176,1,,0.726114093,0.273885907
Ag 5,6/24/2024,2024,176,2,edit,0.452371663,0.547628337
Ag 5,6/24/2024,2024,176,3,,0.62520787,0.37479213
Ag 5,6/24/2024,2024,176,5,,0.20553604,0.79446396
Ag 5,6/24/2024,2024,176,6,,0.529885957,0.470114043
Ag 5,6/24/2024,2024,176,7,,0.438468505,0.561531495
Ag 5,6/24/2024,2024,176,8,,0.231324689,0.768675311
Ag 5,6/24/2024,2024,176,9,,0.369005547,0.630994453
Ag-nat 2,5/28/2024,2024,149,4,,0.908313898,0.091686102
Ag-nat 2,5/28/2024,2024,149,9,,0.469041799,0.530958201
Ag 5,6/24/2024,2024,176,10,,0.491460931,0.508539069
Ag 5,7/29/2024,2024,211,1,,0.470050434,0.529949566
Ag 5,7/29/2024,2024,211,10,,0.47589584,0.52410416
Ag 5,7/29/2024,2024,211,3,,0.259954023,0.740045977
Ag 5,7/29/2024,2024,211,4,,0.41019819,0.58980181
Ag 5,7/29/2024,2024,211,6,,0.154241745,0.845758255
Ag 5,7/29/2024,2024,211,7,,0.217095557,0.782904443
Ag 5,7/29/2024,2024,211,9,,0.323778735,0.676221265
Ag 5,9/17/2024,2024,261,1,,0.691456478,0.308543522
Ag-nat 2,5/28/2024,2024,149,10,,0.453964004,0.546035996
Ag-nat 2,7/30/2024,2024,212,10,,0.424371279,0.575628721
Ag-nat 2,7/30/2024,2024,212,3,,0.659182365,0.340817635
Ag-nat 2,8/23/2024,2024,236,1,,0.680653777,0.319346223
Ag-nat 2,8/23/2024,2024,236,2,,0.854378052,0.145621948
Ag-nat 2,8/23/2024,2024,236,3,,0.837763883,0.162236117
Ag-nat 2,8/23/2024,2024,236,4,,0.467465358,0.532534642
Ag-nat 2,8/23/2024,2024,236,5,,0.71582764,0.28417236
Ag-nat 2,8/23/2024,2024,236,6,,0.471391527,0.528608473
Ag-nat 3,5/31/2024,2024,152,6,,0.384129491,0.615870509
Ag-nat 3,5/31/2024,2024,152,7,,0.566323994,0.433676006
Ag-nat 3,5/31/2024,2024,152,8,,0.643246315,0.356753685
Ag-nat 3,5/31/2024,2024,152,9,,0.656645046,0.343354954
Ag-nat 3,6/24/2024,2024,176,10,,0.219706551,0.780293449
Ag-nat 3,7/29/2024,2024,211,1,,0.158291115,0.841708885
Ag-nat 3,7/29/2024,2024,211,2,,0.16550096,0.83449904
Ag-nat 3,7/29/2024,2024,211,3,,0.090190641,0.909809359
Ag-nat 3,7/29/2024,2024,211,4,,0.126229466,0.873770534
Ag-nat 3,7/29/2024,2024,211,5,,0.127685128,0.872314872
Ag-nat 3,7/29/2024,2024,211,6,,0.25119121,0.74880879
Ag-nat 3,7/29/2024,2024,211,7,,0.341665921,0.658334079
Ag-nat 3,7/29/2024,2024,211,8,,0.121829245,0.878170755
Ag-nat 3,7/29/2024,2024,211,9,,0.360157345,0.639842655
Ag-nat 5,6/25/2024,2024,177,1,,0.49020723,0.50979277
Ag-nat 5,6/25/2024,2024,177,2,,0.534264484,0.465735516
Ag-nat 5,6/25/2024,2024,177,3,,0.433941514,0.566058486
Ag-nat 5,6/25/2024,2024,177,5,,0.586538545,0.413461455
Ag-nat 5,6/25/2024,2024,177,7,,0.236258386,0.763741614
Ag-nat 5,6/25/2024,2024,177,8,,0.372564769,0.627435231
Ag-nat 5,7/30/2024,2024,212,2,,0.641918249,0.358081751
Ag-nat 5,7/30/2024,2024,212,7,,0.438317976,0.561682024
Ag-nat 5,8/23/2024,2024,236,1,,0.713159187,0.286840813
Ag-nat 5,8/23/2024,2024,236,5,,0.746412636,0.253587364
Ag-nat 5,8/23/2024,2024,236,6,,0.761712589,0.238287411
Ag-nat 5,8/23/2024,2024,236,7,,0.480817235,0.519182765
Ag-nat 5,8/23/2024,2024,236,8,,0.606140737,0.393859263
Ag-nat 5,8/23/2024,2024,236,9,,0.424455637,0.575544363
Ag-nat 5,9/13/2024,2024,250,1,,0.710215885,0.289784115
Ag-nat 5,9/13/2024,2024,250,2,,0.583823589,0.416176411
Ag-nat 5,9/13/2024,2024,250,3,,0.471027023,0.528972977
Ag-nat 5,9/13/2024,2024,250,4,,0.284182561,0.715817439
Ag-nat 5,9/13/2024,2024,250,5,,0.798709757,0.201290243
Ag-nat 7,7/30/2024,2024,212,1,,0.353143093,0.646856907
Ag-nat 7,7/30/2024,2024,212,10,,0.222921738,0.777078262
Ag-nat 7,7/30/2024,2024,212,5,,0.40406224,0.59593776
Ag-nat 7,7/30/2024,2024,212,6,,0.471347779,0.528652221
Ag-nat 7,8/20/2024,2024,233,10,,0.468283825,0.531716175
Ag-nat 7,8/20/2024,2024,233,6,,0.338863281,0.661136719
Ag-nat 7,8/20/2024,2024,233,7,,0.298185562,0.701814438
Ag-nat 7,8/20/2024,2024,233,8,,0.566692288,0.433307712
Ag-nat 7,9/16/2024,2024,260,1,,0.398370835,0.601629165
Ag-nat 8,5/31/2024,2024,156,4,,0.459987424,0.540012576
Ag-nat 8,8/20/2024,2024,233,1,,0.306094203,0.693905797
Ag-nat 9,6/25/2024,2024,177,5,,0.267681227,0.732318773
Ag-nat 9,6/25/2024,2024,177,6,,0.187338722,0.812661278
Ag-nat 9,6/25/2024,2024,177,7,,0.497538159,0.502461841
Ag-nat 9,7/30/2024,2024,212,6,,0.335713792,0.664286208
Ag-nat 9,7/30/2024,2024,212,7,,0.387428453,0.612571547
Ag-nat 9,8/23/2024,2024,236,1,,0.150374823,0.849625177
Ag-nat 9,8/23/2024,2024,236,6,,0.540925495,0.459074505
Half 2,5/31/2024,2024,152,10,,0.603236685,0.396763315
Half 2,5/31/2024,2024,152,2,,0.726404542,0.273595458
Half 2,5/31/2024,2024,152,4,,0.837933444,0.162066556
Half 2,5/31/2024,2024,152,6,,0.929630543,0.070369457
Half 2,5/31/2024,2024,152,7,,0.79576224,0.20423776
Half 2,5/31/2024,2024,152,8,,0.45427468,0.54572532
Half 2,6/24/2024,2024,176,1,,0.80746168,0.19253832
Half 2,6/24/2024,2024,176,10,,0.36650875,0.63349125
Half 2,6/24/2024,2024,176,2,,0.651584486,0.348415514
Half 2,6/24/2024,2024,176,4,,0.50580524,0.49419476
Half 2,6/24/2024,2024,176,6,,0.474637303,0.525362697
Half 2,6/24/2024,2024,176,7,,0.572033006,0.427966994
Half 2,6/24/2024,2024,176,8,,0.084423514,0.915576486
Half 2,6/24/2024,2024,176,9,,0.339078546,0.660921454
Half 5,5/31/2024,2024,152,1,,0.22712271,0.77287729
Half 5,5/31/2024,2024,152,2,,0.224959172,0.775040828
Half 5,5/31/2024,2024,152,4,,0.303538759,0.696461241
Half 6,5/30/2024,2024,169,1,,0.184231374,0.815768626
Half 6,5/30/2024,2024,169,10,,0.172751096,0.827248904
Half 6,5/30/2024,2024,169,2,,0.861597047,0.138402953
Half 6,5/30/2024,2024,169,5,,0.548239006,0.451760994
Half 6,5/30/2024,2024,169,9,,0.387398854,0.612601146
Half 6,8/1/2024,2024,214,10,,0.687371992,0.312628008
Half 6,8/1/2024,2024,214,4,,0.434573079,0.565426921
Half 6,8/1/2024,2024,214,5,edit,0.435091389,0.564908611
Half 6,8/1/2024,2024,214,7,,0.454812082,0.545187918
Half 6,8/1/2024,2024,214,8,,0.502678654,0.497321346
Half 6,8/1/2024,2024,214,9,,0.427192753,0.572807247
Half 6,8/22/2024,2024,235,4,,0.91065431,0.08934569
Half 10,5/31/2024,2024,152,1,,0.424156599,0.575843401
Half 6,8/22/2024,2024,235,5,,0.604736082,0.395263918
Half 6,8/22/2024,2024,235,6,,0.3240322,0.6759678
Half 6,8/22/2024,2024,235,7,,0.471443319,0.528556681
Half 6,8/22/2024,2024,235,8,,0.402011757,0.597988243
Half 6,8/22/2024,2024,235,9,,0.428603294,0.571396706
Half 7,8/23/2024,2024,236,7,,0.127963509,0.872036491
Half 9,6/25/2024,2024,177,9,,0.370239216,0.629760784
Half 9,9/13/2024,2024,250,4,,0.532799486,0.467200514
Half 10,5/31/2024,2024,152,2,,0.607059255,0.392940745
Half 10,5/31/2024,2024,152,3,,0.436970506,0.563029494
Half 10,5/31/2024,2024,152,4,,0.615835946,0.384164054
Half 10,8/23/2024,2024,236,1,,0.22147098,0.77852902
